[compile] four-rank GABLS1 y-slab ready in 13.045s
step=17600 time=3.7467/9h CFL=0.7000 CFLnu=0.0558 divL2=1.646e-04 Q0=-8.081e-03 theta_budget=7.654e-08
step=17700 time=3.7667/9h CFL=0.7000 CFLnu=0.0577 divL2=1.623e-04 Q0=-7.773e-03 theta_budget=2.473e-08
step=17800 time=3.7865/9h CFL=0.7000 CFLnu=0.0535 divL2=1.639e-04 Q0=-7.759e-03 theta_budget=2.260e-08
step=17900 time=3.8061/9h CFL=0.7000 CFLnu=0.0602 divL2=1.632e-04 Q0=-8.005e-03 theta_budget=7.226e-08
step=18000 time=3.8254/9h CFL=0.7000 CFLnu=0.0541 divL2=1.641e-04 Q0=-8.194e-03 theta_budget=3.944e-08
step=18100 time=3.8445/9h CFL=0.7000 CFLnu=0.0605 divL2=1.644e-04 Q0=-8.529e-03 theta_budget=1.001e-07
step=18200 time=3.8633/9h CFL=0.7000 CFLnu=0.0779 divL2=1.666e-04 Q0=-8.818e-03 theta_budget=7.582e-09
step=18300 time=3.8822/9h CFL=0.7000 CFLnu=0.0575 divL2=1.657e-04 Q0=-9.096e-03 theta_budget=2.519e-09
step=18400 time=3.9009/9h CFL=0.7000 CFLnu=0.0646 divL2=1.663e-04 Q0=-9.100e-03 theta_budget=3.735e-08
step=18500 time=3.9199/9h CFL=0.7000 CFLnu=0.0504 divL2=1.678e-04 Q0=-8.810e-03 theta_budget=5.868e-08
step=18600 time=3.9385/9h CFL=0.7000 CFLnu=0.0482 divL2=1.687e-04 Q0=-8.732e-03 theta_budget=1.584e-07
step=18700 time=3.9572/9h CFL=0.7000 CFLnu=0.0676 divL2=1.682e-04 Q0=-8.583e-03 theta_budget=1.813e-07
step=18800 time=3.9758/9h CFL=0.7000 CFLnu=0.0519 divL2=1.681e-04 Q0=-8.614e-03 theta_budget=1.490e-08
step=18900 time=3.9943/9h CFL=0.7000 CFLnu=0.0480 divL2=1.714e-04 Q0=-8.984e-03 theta_budget=7.832e-08
step=19000 time=4.0122/9h CFL=0.7000 CFLnu=0.0536 divL2=1.727e-04 Q0=-9.122e-03 theta_budget=2.861e-09
step=19100 time=4.0300/9h CFL=0.7000 CFLnu=0.0654 divL2=1.726e-04 Q0=-8.810e-03 theta_budget=2.608e-08
step=19200 time=4.0480/9h CFL=0.7000 CFLnu=0.0439 divL2=1.708e-04 Q0=-8.532e-03 theta_budget=9.728e-09
step=19300 time=4.0660/9h CFL=0.7000 CFLnu=0.0560 divL2=1.717e-04 Q0=-8.721e-03 theta_budget=4.593e-08
step=19400 time=4.0841/9h CFL=0.7000 CFLnu=0.0630 divL2=1.718e-04 Q0=-9.015e-03 theta_budget=5.086e-08
step=19500 time=4.1023/9h CFL=0.7000 CFLnu=0.0780 divL2=1.731e-04 Q0=-8.976e-03 theta_budget=2.452e-08
step=19600 time=4.1202/9h CFL=0.7000 CFLnu=0.0628 divL2=1.731e-04 Q0=-9.030e-03 theta_budget=2.812e-08
step=19700 time=4.1380/9h CFL=0.7000 CFLnu=0.0567 divL2=1.726e-04 Q0=-9.401e-03 theta_budget=4.325e-08
step=19800 time=4.1567/9h CFL=0.7000 CFLnu=0.0578 divL2=1.730e-04 Q0=-9.681e-03 theta_budget=1.249e-07
step=19900 time=4.1752/9h CFL=0.7000 CFLnu=0.0573 divL2=1.738e-04 Q0=-9.650e-03 theta_budget=6.014e-08
step=20000 time=4.1936/9h CFL=0.7000 CFLnu=0.0545 divL2=1.747e-04 Q0=-9.411e-03 theta_budget=2.667e-09
step=20100 time=4.2124/9h CFL=0.7000 CFLnu=0.0810 divL2=1.731e-04 Q0=-9.738e-03 theta_budget=9.279e-08
step=20200 time=4.2311/9h CFL=0.7000 CFLnu=0.0710 divL2=1.713e-04 Q0=-9.756e-03 theta_budget=9.654e-08
step=20300 time=4.2500/9h CFL=0.7000 CFLnu=0.0645 divL2=1.714e-04 Q0=-9.648e-03 theta_budget=3.175e-08
step=20400 time=4.2691/9h CFL=0.7000 CFLnu=0.0608 divL2=1.736e-04 Q0=-9.502e-03 theta_budget=5.846e-08
step=20500 time=4.2882/9h CFL=0.7000 CFLnu=0.0675 divL2=1.740e-04 Q0=-9.396e-03 theta_budget=1.098e-08
step=20600 time=4.3072/9h CFL=0.7000 CFLnu=0.0552 divL2=1.704e-04 Q0=-9.466e-03 theta_budget=8.408e-08
step=20700 time=4.3265/9h CFL=0.7000 CFLnu=0.0419 divL2=1.712e-04 Q0=-9.232e-03 theta_budget=6.553e-08
